chrom	chunk	r2_med	r2_avg	r2_std	con_med	con_avg	con_std	inf_med	inf_avg	inf_std
10	10	0.841	0.8332	0.1176	0.931	0.9247	0.0499	0.935	0.9325	0.0444
10	11	0.760	0.7593	0.1165	0.891	0.8925	0.0543	0.900	0.8996	0.0471
10	12	0.747	0.7376	0.0963	0.873	0.8719	0.0444	0.901	0.8931	0.0410
10	13	0.815	0.8077	0.1150	0.910	0.9023	0.0614	0.920	0.9139	0.0519
10	14	0.814	0.8000	0.1322	0.916	0.9060	0.0683	0.923	0.9177	0.0535
10	15	0.631	0.6349	0.1316	0.819	0.8266	0.0723	0.842	0.8379	0.0611
10	1	0.9365	0.9115	0.0813	0.967	0.9649	0.0231	0.9645	0.9468	0.0478
10	2	0.8965	0.8714	0.1163	0.946	0.9404	0.0451	0.949	0.9290	0.0775
10	3	0.836	0.8252	0.0995	0.921	0.9201	0.0401	0.934	0.9274	0.0409
10	4	0.803	0.7953	0.0982	0.9125	0.9086	0.0424	0.917	0.9046	0.0559
10	5	0.7795	0.7449	0.1716	0.917	0.8837	0.0890	0.906	0.8653	0.1000
10	6	0.828	0.8219	0.1145	0.919	0.9173	0.0566	0.929	0.9198	0.0569
10	7	0.815	0.7971	0.1030	0.915	0.9058	0.0549	0.93	0.9245	0.0404
10	8	0.7645	0.7643	0.1077	0.894	0.8920	0.0485	0.909	0.9104	0.0353
10	9	0.746	0.7342	0.1080	0.878	0.8781	0.0484	0.905	0.9025	0.0380
11	10	0.797	0.7969	0.1054	0.918	0.9138	0.0453	0.916	0.9130	0.0419
11	11	0.827	0.8036	0.1336	0.918	0.9106	0.0530	0.923	0.9096	0.0583
11	12	0.8065	0.8077	0.1133	0.903	0.9074	0.0531	0.9235	0.9176	0.0463
11	13	0.772	0.7636	0.0858	0.892	0.8907	0.0408	0.914	0.9119	0.0334
11	14	0.681	0.6896	0.1251	0.849	0.8512	0.0623	0.882	0.8818	0.0479
11	15	0.69	0.6884	0.1393	0.8675	0.8579	0.0673	0.8795	0.8704	0.0588
11	16	0.600	0.6044	0.1339	0.812	0.8127	0.0760	0.824	0.8213	0.0622
11	1	0.9305	0.9069	0.0694	0.9695	0.9632	0.0226	0.9585	0.9323	0.0694
11	2	0.7995	0.8017	0.1183	0.905	0.9057	0.0600	0.9245	0.9193	0.0475
11	3	0.753	0.7335	0.1654	0.893	0.8832	0.0625	0.899	0.8912	0.0624
11	4	0.7765	0.7631	0.1057	0.8845	0.8859	0.0547	0.899	0.8964	0.0504
11	5	0.833	0.8338	0.1052	0.915	0.9160	0.0540	0.929	0.9248	0.0473
11	6	0.828	0.8201	0.1102	0.9225	0.9185	0.0485	0.931	0.9263	0.0421
11	7	0.7985	0.8024	0.0990	0.907	0.9090	0.0388	0.9335	0.9289	0.0378
11	8	0.832	0.8301	0.0964	0.930	0.9249	0.0439	0.931	0.9276	0.0396
11	9	0.797	0.7884	0.0959	0.893	0.8960	0.0474	0.922	0.9169	0.0392
12	10	0.818	0.8073	0.0992	0.916	0.9119	0.0427	0.933	0.9301	0.0332
12	11	0.799	0.8032	0.0970	0.907	0.9055	0.0483	0.931	0.9283	0.0330
12	12	0.757	0.7690	0.1039	0.887	0.8892	0.0512	0.910	0.9087	0.0438
12	13	0.7675	0.7713	0.1032	0.895	0.8942	0.0506	0.9155	0.9174	0.0391
12	14	0.7235	0.7196	0.1238	0.864	0.8682	0.0614	0.8855	0.8802	0.0521
12	15	0.5925	0.5868	0.1407	0.799	0.7941	0.0745	0.8235	0.8122	0.0689
12	1	0.9475	0.9253	0.0684	0.979	0.9699	0.0283	0.981	0.9703	0.0272
12	2	0.816	0.8136	0.1164	0.918	0.9134	0.0550	0.934	0.9324	0.0390
12	3	0.746	0.7612	0.1078	0.8795	0.8818	0.0549	0.9125	0.9100	0.0382
12	4	0.756	0.7481	0.0874	0.890	0.8851	0.0455	0.913	0.9063	0.0370
12	5	0.780	0.7692	0.1041	0.896	0.8947	0.0478	0.921	0.9148	0.0387
12	6	0.83	0.8180	0.1120	0.92	0.9182	0.0477	0.945	0.9360	0.0428
12	7	0.838	0.8324	0.0826	0.925	0.9254	0.0323	0.944	0.9384	0.0309
12	8	0.8965	0.8863	0.0769	0.952	0.9445	0.0384	0.958	0.9525	0.0329
12	9	0.8875	0.8689	0.0821	0.946	0.9415	0.0354	0.958	0.9507	0.0279
13	10	0.7825	0.7744	0.1227	0.9	0.8958	0.0547	0.9115	0.9105	0.0461
13	11	0.712	0.7137	0.1081	0.863	0.8670	0.0522	0.889	0.8834	0.0444
13	12	0.698	0.7028	0.1056	0.8595	0.8647	0.0485	0.88	0.8787	0.0439
13	13	0.652	0.6338	0.1290	0.827	0.8207	0.0721	0.848	0.8429	0.0531
13	1	0.979	0.9582	0.0458	0.990	0.9833	0.0190	0.986	0.9763	0.0272
13	2	0.902	0.8973	0.0677	0.957	0.9536	0.0311	0.964	0.9582	0.0284
13	3	0.839	0.8418	0.0737	0.923	0.9239	0.0366	0.939	0.9386	0.0273
13	4	0.772	0.7682	0.0792	0.884	0.8874	0.0408	0.910	0.9094	0.0309
13	5	0.7265	0.7239	0.1077	0.873	0.8731	0.0488	0.8985	0.8955	0.0399
13	6	0.811	0.8049	0.0926	0.911	0.9078	0.0463	0.926	0.9230	0.0337
13	7	0.805	0.7991	0.0819	0.911	0.9085	0.0363	0.919	0.9181	0.0323
13	8	0.842	0.8195	0.1313	0.919	0.9109	0.0729	0.9235	0.9064	0.0728
13	9	0.818	0.8073	0.0883	0.911	0.9076	0.0425	0.925	0.9211	0.0334
14	10	0.702	0.7110	0.1190	0.861	0.8701	0.0598	0.892	0.8926	0.0431
14	11	0.742	0.7340	0.0978	0.873	0.8765	0.0516	0.900	0.8952	0.0417
14	12	0.7325	0.7326	0.1024	0.874	0.8688	0.0592	0.8855	0.8828	0.0515
